-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               aten::mm         6.18%      30.319ms         8.79%      43.088ms      64.311us      96.876ms        40.15%      96.876ms     144.591us           0 B           0 B       8.97 GB       8.97 GB           670      5321.230  
                                                forward         0.00%       0.000us         0.00%       0.000us       0.000us      84.109ms        34.86%      84.109ms       8.411ms           0 B           0 B           0 B           0 B            10            --  
                                                forward         3.41%      16.737ms        12.21%      59.870ms       5.987ms       0.000us         0.00%      76.799ms       7.680ms           0 B           0 B      11.99 GB      -5.32 GB            10            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.63%       3.068ms         5.49%      26.920ms     336.502us       0.000us         0.00%      50.299ms     628.734us           0 B           0 B      -3.09 GB      -6.25 GB            80            --  
                                         AddmmBackward0         0.60%       2.920ms         3.57%      17.483ms     218.536us       0.000us         0.00%      44.230ms     552.881us           0 B           0 B       3.16 GB           0 B            80            --  
                                           aten::linear         0.35%       1.731ms         3.81%      18.693ms      74.771us       0.000us         0.00%      40.922ms     163.690us           0 B           0 B       6.25 GB           0 B           250            --  
       autograd::engine::evaluate_function: MmBackward0         0.70%       3.425ms         8.35%      40.917ms     240.689us       0.000us         0.00%      35.325ms     207.795us           0 B           0 B    -615.04 MB      -3.28 GB           170            --  
                                            MmBackward0         1.22%       5.964ms         7.65%      37.493ms     220.545us       0.000us         0.00%      35.325ms     207.795us           0 B           0 B       2.68 GB           0 B           170            --  
autograd::engine::evaluate_function: NativeLayerNorm...         0.71%       3.465ms         3.17%      15.555ms     172.834us       0.000us         0.00%      25.790ms     286.556us           0 B           0 B      -2.68 GB      -4.08 GB            90            --  
                                            aten::addmm         0.63%       3.084ms         0.78%       3.834ms      47.919us      23.602ms         9.78%      23.602ms     295.028us           0 B           0 B       3.12 GB       3.12 GB            80      1374.390  
                              Optimizer.step#AdamW.step         0.00%       0.000us         0.00%       0.000us       0.000us      21.993ms         9.11%      21.993ms       2.199ms           0 B           0 B           0 B           0 B            10            --  
                               NativeLayerNormBackward0         0.20%     973.553us         1.98%       9.731ms     108.117us       0.000us         0.00%      21.204ms     235.596us           0 B           0 B       1.41 GB           0 B            90            --  
                       aten::native_layer_norm_backward         0.66%       3.233ms         1.79%       8.757ms      97.300us      21.204ms         8.79%      21.204ms     235.596us           0 B           0 B       1.41 GB           0 B            90            --  
autograd::engine::evaluate_function: FlashAttnFuncBa...         0.35%       1.734ms         5.13%      25.143ms     628.572us       0.000us         0.00%      18.457ms     461.426us           0 B           0 B      -1.27 GB      -3.14 GB            40            --  
                                  FlashAttnFuncBackward         1.36%       6.671ms         4.77%      23.409ms     585.226us       0.000us         0.00%      18.457ms     461.426us           0 B           0 B       1.88 GB     -20.00 MB            40            --  
                       flash_attn::_flash_attn_backward         2.20%      10.765ms         2.87%      14.084ms     352.103us      18.457ms         7.65%      18.457ms     461.426us           0 B           0 B      20.00 MB      -1.25 GB            40            --  
                                           aten::matmul         0.41%       2.006ms         2.07%      10.169ms      59.820us       0.000us         0.00%      17.320ms     101.884us           0 B           0 B       3.12 GB           0 B           170            --  
void at::native::(anonymous namespace)::GammaBetaBac...         0.00%       0.000us         0.00%       0.000us       0.000us      15.044ms         6.23%      15.044ms     167.159us           0 B           0 B           0 B           0 B            90            --  
void cutlass::Kernel2<cutlass_80_tensorop_bf16_s1681...         0.00%       0.000us         0.00%       0.000us       0.000us      14.759ms         6.12%      14.759ms      92.243us           0 B           0 B           0 B           0 B           160            --  
