-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  Total GFLOPs  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                forward         1.00%      14.067ms         9.51%     134.112ms      13.411ms       0.000us         0.00%     416.175ms      41.618ms           0 B           0 B      48.08 GB     -21.13 GB            10            --  
                                               aten::mm         1.24%      17.508ms        10.68%     150.648ms     224.848us     344.375ms        35.85%     366.381ms     546.838us           0 B           0 B      35.67 GB      35.67 GB           670     21284.918  
                                                forward         0.00%       0.000us         0.00%       0.000us       0.000us     316.663ms        32.97%     316.663ms      31.666ms           0 B           0 B           0 B           0 B            10            --  
                                           aten::linear         0.10%       1.465ms         3.45%      48.740ms     194.959us       0.000us         0.00%     191.913ms     767.652us           0 B           0 B      24.98 GB           0 B           250            --  
    autograd::engine::evaluate_function: AddmmBackward0         0.12%       1.651ms         4.64%      65.506ms     818.825us       0.000us         0.00%     176.291ms       2.204ms           0 B           0 B     -12.46 GB     -25.00 GB            80            --  
                                         AddmmBackward0         0.11%       1.528ms         3.32%      46.780ms     584.747us       0.000us         0.00%     158.275ms       1.978ms           0 B           0 B      12.54 GB           0 B            80            --  
autograd::engine::evaluate_function: ScaledDotProduc...         0.07%     924.453us         0.95%      13.409ms     335.214us       0.000us         0.00%     155.040ms       3.876ms           0 B           0 B      -5.08 GB     -12.58 GB            40            --  
                ScaledDotProductFlashAttentionBackward0         0.02%     331.790us         0.88%      12.484ms     312.103us       0.000us         0.00%     155.040ms       3.876ms           0 B           0 B       7.50 GB           0 B            40            --  
     aten::_scaled_dot_product_flash_attention_backward         0.07%       1.043ms         0.86%      12.152ms     303.808us       0.000us         0.00%     155.040ms       3.876ms           0 B           0 B       7.50 GB           0 B            40            --  
                        aten::_flash_attention_backward         0.08%       1.183ms         0.70%       9.917ms     247.927us     155.040ms        16.14%     155.040ms       3.876ms           0 B           0 B       7.50 GB      -5.09 GB            40            --  
void pytorch_flash::flash_bwd_dq_dk_dv_loop_seqk_par...         0.00%       0.000us         0.00%       0.000us       0.000us     132.263ms        13.77%     132.263ms       3.307ms           0 B           0 B           0 B           0 B            40            --  
       autograd::engine::evaluate_function: MmBackward0         0.13%       1.823ms         7.03%      99.229ms     583.702us       0.000us         0.00%     126.205ms     742.382us           0 B           0 B      -2.45 GB     -13.10 GB           170            --  
                                            MmBackward0         0.22%       3.157ms         6.90%      97.406ms     572.977us       0.000us         0.00%     126.205ms     742.382us           0 B           0 B      10.65 GB           0 B           170            --  
                                            aten::addmm         0.21%       2.954ms         1.80%      25.450ms     318.128us      83.388ms         8.68%     110.011ms       1.375ms           0 B           0 B      12.50 GB      12.50 GB            80      5497.558  
                                    Command Buffer Full        31.26%     441.082ms        31.26%     441.082ms     465.767us     101.032ms        10.52%     101.032ms     106.686us           0 B           0 B           0 B           0 B           947            --  
                                           aten::matmul         0.12%       1.718ms         1.37%      19.347ms     113.807us       0.000us         0.00%      81.902ms     481.775us           0 B           0 B      12.48 GB           0 B           170            --  
ampere_bf16_s1688gemm_bf16_128x128_ldg8_f2f_stages_3...         0.00%       0.000us         0.00%       0.000us       0.000us      81.070ms         8.44%      81.070ms     405.348us           0 B           0 B           0 B           0 B           200            --  
                                       cudaLaunchKernel        17.50%     246.934ms        22.22%     313.513ms     135.720us       0.000us         0.00%      69.070ms      29.901us           0 B           0 B           0 B           0 B          2310            --  
                     aten::scaled_dot_product_attention         0.03%     458.858us         0.62%       8.712ms     217.798us       0.000us         0.00%      65.427ms       1.636ms           0 B           0 B       2.58 GB           0 B            40            --  
