-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               backward        43.50%     197.750ms        43.60%     198.165ms      19.816ms       0.000us         0.00%      14.879us       1.488us           0 B           0 B     -12.55 GB     -12.55 GB            10  
                                                forward         3.48%      15.818ms        12.64%      57.473ms       5.747ms       0.000us         0.00%      76.175ms       7.617ms           0 B           0 B      11.99 GB      -5.32 GB            10  
                                               aten::mm         6.28%      28.545ms         8.91%      40.508ms      60.460us      95.637ms        40.00%      95.637ms     142.742us           0 B           0 B       8.97 GB       8.97 GB           670  
                                              optimizer         0.26%       1.197ms         8.10%      36.834ms       3.683ms       0.000us         0.00%       2.404ms     240.437us           0 B           0 B     -71.84 MB           0 B            10  
       autograd::engine::evaluate_function: MmBackward0         0.72%       3.293ms         8.04%      36.532ms     214.891us       0.000us         0.00%      34.869ms     205.114us           0 B           0 B    -615.04 MB      -3.28 GB           170  
                              Optimizer.step#AdamW.step         4.64%      21.107ms         7.53%      34.215ms       3.421ms       0.000us         0.00%       2.404ms     240.437us           0 B         -40 B           0 B     -71.84 MB            10  
                                            MmBackward0         0.87%       3.932ms         7.31%      33.238ms     195.520us       0.000us         0.00%      34.869ms     205.114us           0 B           0 B       2.68 GB           0 B           170  
    autograd::engine::evaluate_function: AddmmBackward0         0.63%       2.845ms         5.35%      24.314ms     303.930us       0.000us         0.00%      49.627ms     620.341us           0 B           0 B      -3.09 GB      -6.25 GB            80  
                                       cudaLaunchKernel         5.22%      23.711ms         5.22%      23.711ms      11.080us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2140  
autograd::engine::evaluate_function: FlashAttnFuncBa...         0.36%       1.623ms         5.18%      23.563ms     589.071us       0.000us         0.00%      18.271ms     456.781us           0 B           0 B      -1.27 GB      -3.14 GB            40  
