-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                    Command Buffer Full        37.00%        1.319s        37.00%        1.319s       1.063ms      36.592ms         1.60%      36.592ms      29.510us           0 B           0 B           0 B           0 B          1240  
                                               backward         9.01%     321.172ms        36.33%        1.295s     129.475ms       0.000us         0.00%      16.638us       1.664us           0 B           0 B     -82.14 GB     -82.14 GB            10  
                                       cudaLaunchKernel        21.63%     771.065ms        27.56%     982.319ms     272.866us       0.000us         0.00%      26.488ms       7.358us           0 B           0 B           0 B           0 B          3600  
                                               aten::mm         0.74%      26.373ms        18.60%     662.954ms     643.645us     329.220ms        14.36%     352.186ms     341.929us           0 B           0 B      49.02 GB      49.02 GB          1030  
    autograd::engine::evaluate_function: AddmmBackward0         0.04%       1.434ms        14.70%     523.873ms       6.548ms       0.000us         0.00%      32.200ms     402.501us           0 B           0 B      -3.12 GB      -6.25 GB            80  
                                                forward         1.09%      38.839ms        13.65%     486.545ms      48.654ms       0.000us         0.00%     637.224ms      63.722ms           0 B           0 B      80.99 GB     -16.05 GB            10  
                                  cudaDeviceSynchronize        11.65%     415.168ms        11.65%     415.168ms     415.168ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                         AddmmBackward0         0.02%     875.312us        11.61%     413.641ms       5.171ms       0.000us         0.00%      24.818ms     310.227us           0 B           0 B       3.13 GB           0 B            80  
                                         cuLaunchKernel         2.09%      74.619ms         4.76%     169.657ms     308.468us       0.000us         0.00%      10.104ms      18.371us           0 B           0 B           0 B           0 B           550  
                                           aten::linear         0.04%       1.527ms         4.46%     159.062ms     429.896us       0.000us         0.00%     143.964ms     389.091us           0 B           0 B      35.03 GB           0 B           370  
