-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                               backward         9.97%     161.189ms        38.51%     622.702ms      62.270ms       0.000us         0.00%      16.287us       1.629us           0 B           0 B     -67.88 GB     -67.88 GB            10  
                                    Command Buffer Full        30.90%     499.574ms        30.90%     499.574ms     337.550us      66.128ms         6.51%      66.128ms      44.681us           0 B           0 B           0 B           0 B          1480  
                                       cudaLaunchKernel        23.72%     383.616ms        25.68%     415.246ms     123.218us       0.000us         0.00%      36.908ms      10.952us           0 B           0 B           0 B           0 B          3370  
                                  cudaDeviceSynchronize        13.60%     219.976ms        13.60%     219.976ms     219.976ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                               aten::mm         1.26%      20.448ms        11.03%     178.359ms     180.161us     397.466ms        39.14%     417.618ms     421.837us           0 B           0 B      45.67 GB      45.67 GB           990  
    autograd::engine::evaluate_function: AddmmBackward0         0.23%       3.658ms         9.96%     161.036ms     670.985us       0.000us         0.00%     249.354ms       1.039ms           0 B           0 B     -17.46 GB     -40.00 GB           240  
autograd::engine::evaluate_function: NativeLayerNorm...         0.10%       1.608ms         9.45%     152.872ms       1.699ms       0.000us         0.00%      59.939ms     665.985us           0 B           0 B     -10.71 GB     -16.34 GB            90  
                                              aten::sum         0.52%       8.372ms         9.18%     148.499ms     315.954us      40.981ms         4.04%      40.981ms      87.194us           0 B           0 B       5.28 MB       5.28 MB           470  
                               NativeLayerNormBackward0         0.03%     473.669us         8.11%     131.177ms       1.458ms       0.000us         0.00%      41.087ms     456.525us           0 B           0 B       5.63 GB           0 B            90  
                       aten::native_layer_norm_backward         0.14%       2.275ms         8.08%     130.703ms       1.452ms      38.969ms         3.84%      41.087ms     456.525us           0 B           0 B       5.63 GB    -382.59 MB            90  
