-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                  cudaDeviceSynchronize        29.08%     180.840ms        29.08%     180.840ms     180.840ms       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B             1  
                                               backward        22.46%     139.680ms        29.04%     180.622ms      18.062ms       0.000us         0.00%      15.966us       1.597us           0 B           0 B     -25.16 GB     -25.16 GB            10  
                                       cudaLaunchKernel         9.17%      57.017ms        13.88%      86.306ms      39.590us       0.000us         0.00%      22.239ms      10.201us           0 B           0 B           0 B           0 B          2180  
                                                forward         2.12%      13.168ms        11.89%      73.974ms       7.397ms       0.000us         0.00%     176.770ms      17.677ms           0 B           0 B      24.04 GB     -10.56 GB            10  
                                    Command Buffer Full        11.38%      70.753ms        11.38%      70.753ms     237.425us      27.891ms         5.94%      27.891ms      93.593us           0 B           0 B           0 B           0 B           298  
                                               aten::mm         3.34%      20.759ms         7.29%      45.352ms      67.689us     174.726ms        37.24%     177.642ms     265.137us           0 B           0 B      17.86 GB      17.86 GB           670  
       autograd::engine::evaluate_function: MmBackward0         0.38%       2.341ms         5.46%      33.960ms     199.766us       0.000us         0.00%      64.968ms     382.164us           0 B           0 B      -1.21 GB      -6.55 GB           170  
                                            MmBackward0         0.44%       2.760ms         5.08%      31.620ms     185.998us       0.000us         0.00%      64.968ms     382.164us           0 B           0 B       5.34 GB           0 B           170  
                                              optimizer         0.17%       1.066ms         5.00%      31.078ms       3.108ms       0.000us         0.00%       2.488ms     248.760us           0 B           0 B     -73.09 MB           0 B            10  
    autograd::engine::evaluate_function: AddmmBackward0         0.34%       2.138ms         4.63%      28.792ms     359.896us       0.000us         0.00%      89.212ms       1.115ms           0 B           0 B      -6.21 GB     -12.50 GB            80  
