attention,seq_len,hidden_size,num_layers,cuda_time_ms,cpu_time_ms,peak_memory_mb
Softmax,256,256,4,3.35,89.24,1553.98
Flash,256,256,4,3.31,89.26,1553.98
Linear,256,256,4,3.74,120.86,2002.38
GatedDeltaNet,256,128,4,12.69,383.71,5790.4
Softmax,512,256,4,6.47,122.77,3034.61
Flash,512,256,4,5.98,109.94,3034.61
Linear,512,256,4,5.97,132.5,3931.01
GatedDeltaNet,512,128,4,25.16,951.8,11501.46
Softmax,1024,256,4,14.5,364.62,6000.61
Flash,1024,256,4,13.57,356.78,6000.61
Linear,1024,256,4,12.19,406.23,7793.01
