attention,n_pairs,hidden_size,accuracy,final_loss
Softmax,3,256,0.2232142857142857,0.1725
Flash,3,256,0.0,0.172412109375
Linear,3,256,0.2232142857142857,0.1724609375
GatedDeltaNet,3,128,0.33482142857142855,0.181337890625
Softmax,5,256,0.11160714285714285,0.2688671875
Flash,5,256,0.0,0.268515625
Linear,5,256,0.11160714285714285,0.26876953125
GatedDeltaNet,5,128,0.33482142857142855,0.27646484375
Softmax,8,256,0.0,0.41357421875
Flash,8,256,0.5580357142857143,0.41333984375
Linear,8,256,0.11160714285714285,0.413203125
GatedDeltaNet,8,128,0.33482142857142855,0.42451171875
Softmax,10,256,0.0,0.509296875
Flash,10,256,0.2232142857142857,0.5095703125
Linear,10,256,0.33482142857142855,0.509609375
GatedDeltaNet,10,128,0.33482142857142855,0.517890625
Softmax,15,256,0.11160714285714285,0.7503515625
Flash,15,256,0.33482142857142855,0.750859375
Linear,15,256,0.2232142857142857,0.7501953125
GatedDeltaNet,15,128,0.11160714285714285,0.7584765625
