attention,seq_len,generate_len,forward_time_ms,generate_time_ms,tokens_per_sec
Standard,512,50,1.9065625965595245,117.09384868542354,427.0079134073613
Standard,512,100,1.9065625965595245,212.35674992203712,470.90568129674784
Flash,512,50,1.7043493688106537,92.53855049610138,540.3153575666445
Flash,512,100,1.7043493688106537,184.58844224611917,541.7457278645105
Linear,512,50,2.1646231412887573,107.4192946155866,465.46572642215966
Linear,512,100,2.1646231412887573,215.31140183409056,464.4435879761518
GatedDeltaNet,512,50,7.798590138554573,2581.4291201531887,19.369115971324003
GatedDeltaNet,512,100,7.798590138554573,5699.0177147090435,17.546883516768535
Standard,1024,50,1.9277818500995636,104.10982246200244,480.26208111390054
Standard,1024,100,1.9277818500995636,205.1226608455181,487.51317669046796
Flash,1024,50,1.67582668364048,92.5785464545091,540.081929505869
Flash,1024,100,1.67582668364048,182.51886467138925,547.888571299422
Linear,1024,50,3.7228692322969437,106.93549240628879,467.57160672184403
Linear,1024,100,3.7228692322969437,210.95168963074684,474.04218555936467
GatedDeltaNet,1024,50,7.874184846878052,290.0691678126653,172.3726805473217
GatedDeltaNet,1024,100,7.874184846878052,678.488543877999,147.38642369469588
