attention,seq_len,forward_memory_mb,backward_memory_mb,total_memory_mb
Standard,256,29.578125,37.2041015625,37.2041015625
Flash,256,22.2822265625,22.93896484375,22.93896484375
Linear,256,56.28173828125,84.8759765625,84.8759765625
GatedDeltaNet,256,131.28466796875,359.5546875,359.5546875
Standard,512,75.51220703125,86.1259765625,86.1259765625
Flash,512,26.8134765625,29.00146484375,29.00146484375
Linear,512,94.81298828125,152.8759765625,152.8759765625
GatedDeltaNet,512,234.59716796875,348.6923828125,348.6923828125
Standard,1024,180.64501953125,283.8759765625,283.8759765625
Flash,1024,37.6416015625,43.88427734375,43.88427734375
Linear,1024,174.63330078125,290.6416015625,290.6416015625
GatedDeltaNet,1024,440.89404296875,666.0830078125,666.0830078125
Standard,2048,581.65283203125,1064.8759765625,1064.8759765625
Flash,2048,55.7666015625,67.14208984375,67.14208984375
Linear,2048,327.76611328125,562.6416015625,562.6416015625
GatedDeltaNet,2048,853.81591796875,1302.0751953125,1302.0751953125
