attention,model_size,num_params,hidden_size,num_layers,step_time_ms,memory_peak_mb,throughput
Standard,~2M,3099648,128,2,9.51204001903534,549.32421875,430612.14963384846
Flash,~2M,3099648,128,2,8.93389992415905,387.3408203125,458478.38399483275
Linear,~2M,3099648,128,2,11.187493801116943,458.8984375,366123.10789312446
GatedDeltaNet,~2M,5101584,128,2,16.201873496174812,619.599609375,252810.26919306876
Standard,~10M,8563200,256,4,16.669179126620293,1177.2109375,245722.95785452222
Flash,~10M,8563200,256,4,15.301819890737534,532.291015625,267680.5784702369
Linear,~10M,8563200,256,4,19.66911405324936,821.4765625,208245.27169404138
GatedDeltaNet,~10M,24441408,256,4,40.96703194081783,1660.09521484375,99982.8351225737
Standard,~40M,29718528,512,6,33.95051248371601,1925.8603515625,120646.19059770013
Flash,~40M,29718528,512,6,21.607581153512,960.37890625,189563.096901027
Linear,~40M,29718528,512,6,67.38342009484768,3080.611328125,60786.46637755318
GatedDeltaNet,~40M,74007648,512,6,74.68658201396465,2626.3408203125,54842.51507498554
